timestamp,component,model_or_tool,tokens_in,tokens_out,latency_ms,cost_usd,conversation_id
2025-11-29T14:14:35.825185+00:00,google_maps,places_beach,,,282.366,,
2025-11-29T14:14:36.219736+00:00,google_maps,geocode,,,222.789,,
2025-11-29T14:14:36.647762+00:00,google_maps,places_gym,,,255.532,,
2025-11-29T14:14:37.150746+00:00,google_maps,places_school,,,316.095,,
2025-11-29T14:14:37.545138+00:00,google_maps,places_university,,,224.317,,
2025-11-29T14:14:37.992869+00:00,google_maps,places_park,,,281.612,,
2025-11-29T14:14:38.386941+00:00,google_maps,places_shopping_mall,,,225.344,,
2025-11-29T14:14:38.734770+00:00,google_maps,places_hospital,,,178.161,,
2025-11-29T14:14:39.193436+00:00,google_maps,places_beach,,,286.329,,
2025-11-29T14:14:39.545276+00:00,google_maps,geocode,,,193.719,,
2025-11-29T14:14:39.958464+00:00,google_maps,geocode,,,246.309,,
2025-11-29T14:14:40.411555+00:00,google_maps,places_gym,,,287.47,,
2025-11-29T14:14:40.843360+00:00,google_maps,places_school,,,264.647,,
2025-11-29T14:14:41.225797+00:00,google_maps,places_university,,,217.337,,
2025-11-29T14:14:41.663379+00:00,google_maps,places_park,,,242.505,,
2025-11-29T14:14:42.098624+00:00,google_maps,places_shopping_mall,,,266.189,,
2025-11-29T14:14:42.520963+00:00,google_maps,places_hospital,,,251.982,,
2025-11-29T14:14:43.012306+00:00,google_maps,places_beach,,,314.293,,
2025-11-29T14:14:43.389593+00:00,google_maps,geocode,,,209.06,,
2025-11-29T14:14:43.842565+00:00,google_maps,places_gym,,,280.648,,
2025-11-29T14:14:44.391589+00:00,google_maps,places_school,,,368.978,,
2025-11-29T14:14:44.816365+00:00,google_maps,places_university,,,248.656,,
2025-11-29T14:14:45.245700+00:00,google_maps,places_park,,,261.783,,
2025-11-29T14:14:45.666534+00:00,google_maps,places_shopping_mall,,,248.632,,
2025-11-29T14:14:46.108991+00:00,google_maps,places_hospital,,,268.038,,
2025-11-29T14:14:46.668443+00:00,google_maps,places_beach,,,301.82,,
2025-11-29T14:14:47.092042+00:00,google_maps,geocode,,,240.618,,
2025-11-29T14:14:47.526738+00:00,google_maps,places_gym,,,258.755,,
2025-11-29T14:14:47.956076+00:00,google_maps,places_school,,,260.787,,
2025-11-29T14:14:48.340979+00:00,google_maps,places_university,,,204.949,,
2025-11-29T14:14:48.770460+00:00,google_maps,places_park,,,243.971,,
2025-11-29T14:14:49.166245+00:00,google_maps,places_shopping_mall,,,219.489,,
2025-11-29T14:14:49.567305+00:00,google_maps,places_hospital,,,232.528,,
2025-11-29T14:14:50.062395+00:00,google_maps,places_beach,,,308.962,,
2025-11-29T14:14:50.471358+00:00,google_maps,geocode,,,224.099,,
2025-11-29T14:14:50.882610+00:00,google_maps,places_gym,,,239.602,,
2025-11-29T14:14:51.404859+00:00,google_maps,places_school,,,336.159,,
2025-11-29T14:14:51.734895+00:00,google_maps,places_university,,,160.189,,
2025-11-29T14:14:52.149639+00:00,google_maps,places_park,,,234.376,,
2025-11-29T14:14:52.567885+00:00,google_maps,places_shopping_mall,,,254.535,,
2025-11-29T14:14:53.011308+00:00,google_maps,places_hospital,,,264.639,,
2025-11-29T14:14:53.498739+00:00,google_maps,places_beach,,,299.201,,
2025-11-29T14:14:53.860522+00:00,google_maps,geocode,,,187.928,,
2025-11-29T14:14:54.282478+00:00,google_maps,places_gym,,,254.442,,
2025-11-29T14:14:54.805204+00:00,google_maps,places_school,,,341.679,,
2025-11-29T14:14:55.173297+00:00,google_maps,places_university,,,198.959,,
2025-11-29T14:14:55.741832+00:00,google_maps,places_park,,,395.403,,
2025-11-29T14:14:56.092481+00:00,google_maps,places_shopping_mall,,,165.163,,
2025-11-29T14:14:56.439066+00:00,google_maps,places_hospital,,,167.513,,
2025-11-29T14:14:56.909304+00:00,google_maps,places_beach,,,287.892,,
2025-11-29T14:14:57.307744+00:00,google_maps,geocode,,,218.758,,
2025-11-29T14:14:57.778960+00:00,google_maps,places_gym,,,264.984,,
2025-11-29T14:14:58.224578+00:00,google_maps,places_school,,,253.952,,
2025-11-29T14:14:59.013843+00:00,google_maps,places_university,,,239.068,,
2025-11-29T14:14:59.388618+00:00,google_maps,places_park,,,200.59,,
2025-11-29T14:14:59.783286+00:00,google_maps,places_shopping_mall,,,218.432,,
2025-11-29T14:15:00.233724+00:00,google_maps,places_hospital,,,248.213,,
2025-11-29T14:15:00.675815+00:00,google_maps,places_beach,,,259.021,,
2025-11-29T14:15:01.141559+00:00,google_maps,geocode,,,269.571,,
2025-11-29T14:15:01.908668+00:00,google_maps,places_gym,,,255.864,,
2025-11-29T14:15:02.375465+00:00,google_maps,places_school,,,285.339,,
2025-11-29T14:15:02.749904+00:00,google_maps,places_university,,,190.969,,
2025-11-29T14:15:03.124533+00:00,google_maps,places_park,,,199.355,,
2025-11-29T14:15:03.509519+00:00,google_maps,places_shopping_mall,,,205.031,,
2025-11-29T14:15:03.952402+00:00,google_maps,places_hospital,,,251.595,,
2025-11-29T14:15:04.438466+00:00,google_maps,places_beach,,,299.855,,
2025-11-29T14:15:04.865066+00:00,google_maps,geocode,,,246.359,,
2025-11-29T14:15:05.302086+00:00,google_maps,places_gym,,,256.594,,
2025-11-29T14:15:05.693255+00:00,google_maps,places_school,,,207.378,,
